order_id,user_id,order_product_id,order_date,is_discounted,is_canceled
C000001,A0805,B057,2022-05-10,0,0
C000002,A0544,B050,2022-07-20,0,0
C000003,A0084,B023,2022-05-09,1,0
C000004,A0285,B036,2022-07-05,0,0
C000005,A0696,B038,2022-05-16,0,0
C000006,A0970,B028,2022-08-28,0,0
C000007,A0337,B018,2022-04-08,0,0
C000008,A0438,B005,2022-08-28,0,0
C000009,A0125,B025,2022-06-12,0,0
C000010,A0339,B036,2022-09-11,0,0
C000011,A0946,B023,2022-01-24,0,0
C000012,A0877,B025,2022-11-26,0,0
C000013,A0481,B046,2022-01-18,0,0
C000014,A0162,B012,2022-11-06,0,0
C000015,A0142,B052,2022-07-20,0,0
C000016,A0926,B018,2022-09-15,0,0
C000017,A0530,B056,2022-08-22,0,0
C000018,A0439,B041,2022-12-05,0,0
C000019,A0466,B012,2022-05-04,0,0
C000020,A0083,B028,2022-08-11,0,0
C000021,A0364,B018,2022-10-07,0,0
C000022,A0237,B001,2022-12-26,0,0
C000023,A0270,B034,2022-09-12,0,0
C000024,A0716,B022,2022-04-24,0,0
C000025,A0983,B022,2022-06-22,0,0
C000026,A0588,B014,2022-04-28,0,0
C000027,A0717,B002,2022-12-18,0,0
C000028,A0961,B002,2022-05-20,0,0
C000029,A0676,B037,2022-01-15,0,0
C000030,A0290,B038,2022-01-26,0,0
C000031,A0920,B056,2022-06-10,0,0
C000032,A0057,B040,2022-04-26,0,0
C000033,A0804,B009,2022-09-29,0,0
C000034,A0784,B055,2022-12-27,0,0
C000035,A0595,B023,2022-10-21,0,0
C000036,A0466,B040,2022-05-05,0,0
C000037,A0229,B040,2022-01-28,0,0
C000038,A0473,B031,2022-01-29,0,0
C000039,A0437,B019,2022-06-04,0,0
C000040,A0721,B033,2022-11-26,0,0
C000041,A0804,B058,2022-05-01,0,0
C000042,A0429,B027,2022-01-25,0,0
C000043,A0798,B049,2022-07-27,0,0
C000044,A0168,B030,2022-01-27,0,0
C000045,A0007,B023,2022-04-10,0,0
C000046,A0631,B039,2022-08-21,0,0
C000047,A0724,B018,2022-12-22,0,0
C000048,A0084,B002,2022-04-09,0,0
C000049,A0512,B056,2022-05-15,0,0
C000050,A0914,B024,2022-04-02,0,0
C000051,A0229,B004,2022-11-01,0,0
C000052,A0401,B039,2022-06-26,0,0
C000053,A0943,B018,2022-10-24,0,0
C000054,A0832,B051,2022-08-12,0,0
C000055,A0237,B002,2022-12-29,0,0
C000056,A0448,B005,2022-11-29,0,0
C000057,A0037,B027,2022-09-09,0,0
C000058,A0700,B044,2022-08-06,0,0
C000059,A0475,B022,2022-11-23,0,0
C000060,A0665,B048,2022-01-01,0,0
C000061,A0145,B055,2022-03-25,0,0
C000062,A0202,B034,2022-05-28,0,0
C000063,A0674,B024,2022-07-12,0,0
C000064,A0062,B028,2022-06-09,0,0
C000065,A0540,B006,2022-03-17,0,0
C000066,A0833,B019,2022-02-10,0,0
C000067,A0798,B049,2022-07-21,0,0
C000068,A0363,B001,2022-08-08,0,0
C000069,A0530,B051,2022-05-22,0,0
C000070,A0342,B006,2022-05-30,0,0
C000071,A0840,B015,2022-05-04,0,0
C000072,A0553,B014,2022-03-15,0,0
C000073,A0917,B035,2022-10-03,0,0
C000074,A0553,B005,2022-06-17,0,0
C000075,A0296,B022,2022-08-19,0,0
C000076,A0481,B019,2022-07-04,0,0
C000077,A0992,B046,2022-06-11,0,0
C000078,A0292,B013,2022-12-17,0,0
C000079,A0351,B022,2022-11-03,0,0
C000080,A0524,B054,2022-01-15,0,0
C000081,A0275,B017,2022-01-14,0,0
C000082,A0035,B056,2022-05-13,0,0
C000083,A0585,B021,2022-02-07,0,0
C000084,A0062,B019,2022-07-14,0,0
C000085,A0057,B038,2022-08-10,0,0
C000086,A0378,B021,2022-03-10,0,0
C000087,A0869,B032,2022-12-29,0,0
C000088,A0249,B016,2022-11-01,0,0
C000089,A0965,B054,2022-11-23,0,0
C000090,A0951,B026,2022-02-21,0,0
C000091,A0174,B004,2022-11-18,0,0
C000092,A0914,B031,2022-01-11,0,0
C000093,A0163,B004,2022-04-15,0,0
C000094,A0790,B051,2022-10-22,0,0
C000095,A0834,B031,2022-12-07,0,0
C000096,A0530,B020,2022-01-15,0,0
C000097,A0481,B017,2022-04-04,0,0
C000098,A0572,B023,2022-12-01,0,0
C000099,A0669,B050,2022-06-04,0,0
C000100,A0781,B024,2022-01-24,0,0
C000101,A0926,B009,2022-11-13,0,0
C000102,A0814,B035,2022-09-03,0,0
C000103,A0540,B031,2022-04-14,0,0
C000104,A0352,B039,2022-01-28,0,0
C000105,A0339,B005,2022-10-16,0,0
C000106,A0726,B028,2022-11-23,0,0
C000107,A0911,B027,2022-01-02,0,0
C000108,A0811,B056,2022-12-04,0,0
C000109,A0160,B025,2022-11-21,0,0
C000110,A0682,B017,2022-12-11,0,0
C000111,A0038,B039,2022-06-13,0,0
C000112,A0326,B011,2022-12-08,0,0
C000113,A0770,B002,2022-06-29,0,0
C000114,A0529,B018,2022-12-26,0,0
C000115,A0785,B024,2022-10-13,0,0
C000116,A0488,B013,2022-02-19,0,0
C000117,A0001,B024,2022-01-27,0,0
C000118,A0595,B043,2022-07-30,0,0
C000119,A0945,B034,2022-03-08,0,0
C000120,A0540,B037,2022-03-26,0,0
C000121,A0160,B039,2022-03-21,0,0
C000122,A0066,B034,2022-09-30,0,0
C000123,A0152,B045,2022-03-11,0,0
C000124,A0454,B030,2022-05-05,0,0
C000125,A0126,B034,2022-03-08,0,0
C000126,A0784,B029,2022-10-25,0,0
C000127,A0332,B033,2022-06-02,0,0
C000128,A0326,B033,2022-06-18,0,0
C000129,A0970,B039,2022-05-06,0,0
C000130,A0852,B021,2022-07-06,0,0
C000131,A0833,B006,2022-05-25,0,0
C000132,A0173,B043,2022-03-22,0,0
C000133,A0364,B012,2022-06-02,0,0
C000134,A0034,B054,2022-04-06,0,0
C000135,A0615,B018,2022-11-22,0,0
C000136,A0853,B040,2022-07-31,0,0
C000137,A0926,B017,2022-09-26,0,0
C000138,A0693,B033,2022-03-26,0,0
C000139,A0585,B053,2022-02-19,0,0
C000140,A0885,B021,2022-03-25,0,0
C000141,A0092,B027,2022-04-21,0,0
C000142,A0903,B032,2022-06-05,0,0
C000143,A0945,B041,2022-03-25,0,0
C000144,A0498,B022,2022-05-05,0,0
C000145,A0888,B051,2022-11-11,0,0
C000146,A0841,B013,2022-06-27,0,0
C000147,A0368,B047,2022-12-16,0,0
C000148,A0316,B053,2022-05-26,0,0
C000149,A0422,B058,2022-09-26,0,0
C000150,A0274,B018,2022-10-25,0,0
C000151,A0238,B058,2022-04-26,0,0
C000152,A0670,B059,2022-10-07,0,0
C000153,A0687,B038,2022-05-07,0,0
C000154,A0386,B004,2022-01-25,0,0
C000155,A0914,B013,2022-05-19,0,0
C000156,A0315,B035,2022-01-09,0,0
C000157,A0696,B025,2022-08-26,0,0
C000158,A0666,B019,2022-01-21,0,0
C000159,A0145,B046,2022-02-06,0,0
C000160,A0998,B019,2022-06-30,0,0
C000161,A0578,B006,2022-06-05,0,0
C000162,A0025,B034,2022-05-02,0,0
C000163,A0811,B021,2022-03-25,0,0
C000164,A0835,B017,2022-04-12,0,0
C000165,A0119,B039,2022-02-03,0,0
C000166,A0784,B010,2022-07-25,0,0
C000167,A0529,B023,2022-12-27,0,0
C000168,A0173,B046,2022-04-15,0,0
C000169,A0515,B002,2022-08-09,1,0
C000170,A0604,B026,2022-09-25,0,0
C000171,A0451,B046,2022-05-03,0,0
C000172,A0422,B021,2022-06-25,1,0
C000173,A0515,B005,2022-04-26,0,0
C000174,A0004,B006,2022-10-28,0,0
C000175,A0335,B001,2022-07-13,0,0
C000176,A0553,B023,2022-09-25,0,0
C000177,A0770,B017,2022-01-07,0,0
C000178,A0374,B054,2022-01-06,0,0
C000179,A0038,B022,2022-02-16,0,0
C000180,A0992,B038,2022-06-01,0,0
C000181,A0142,B001,2022-01-30,0,0
C000182,A0370,B019,2022-07-10,0,0
C000183,A0007,B047,2022-01-26,0,0
C000184,A0421,B040,2022-09-18,0,0
C000185,A0832,B028,2022-05-03,0,0
C000186,A0571,B034,2022-05-01,0,0
C000187,A0918,B034,2022-09-07,0,0
C000188,A0631,B033,2022-07-04,0,0
C000189,A0417,B002,2022-04-25,0,0
C000190,A0867,B023,2022-06-06,0,0
C000191,A0700,B055,2022-02-25,0,0
C000192,A0834,B019,2022-01-23,0,0
C000193,A0350,B007,2022-04-04,0,0
C000194,A0337,B012,2022-12-26,0,0
C000195,A0865,B018,2022-08-16,0,0
C000196,A0998,B026,2022-03-22,0,0
C000197,A0060,B046,2022-04-27,0,0
C000198,A0619,B021,2022-02-09,0,0
C000199,A0849,B033,2022-10-14,0,0
C000200,A0764,B030,2022-03-25,0,0
C000201,A0066,B046,2022-07-09,0,0
C000202,A0627,B044,2022-01-01,0,0
C000203,A0001,B023,2022-11-29,0,0
C000204,A0559,B046,2022-07-05,1,0
C000205,A0163,B021,2022-01-12,0,0
C000206,A0179,B046,2022-04-03,0,0
C000207,A0298,B056,2022-01-26,0,0
C000208,A0202,B025,2022-12-19,0,0
C000209,A0515,B039,2022-11-02,0,0
C000210,A0163,B056,2022-03-15,0,0
C000211,A0907,B039,2022-04-27,0,0
C000212,A0332,B057,2022-12-05,0,0
C000213,A0797,B035,2022-01-26,0,0
C000214,A0833,B002,2022-10-26,0,0
C000215,A0168,B005,2022-10-27,0,0
C000216,A0899,B034,2022-12-26,0,0
C000217,A0365,B001,2022-03-28,0,0
C000218,A0765,B044,2022-06-21,0,0
C000219,A0712,B024,2022-11-19,0,0
C000220,A0587,B021,2022-07-17,0,0
C000221,A0699,B016,2022-09-12,0,0
C000222,A0054,B058,2022-06-02,0,0
C000223,A0888,B057,2022-05-05,0,0
C000224,A0132,B002,2022-04-22,0,0
C000225,A0696,B038,2022-01-17,0,0
C000226,A0883,B019,2022-10-19,0,0
C000227,A0046,B027,2022-02-10,0,0
C000228,A0499,B037,2022-05-11,0,0
C000229,A0585,B040,2022-05-08,0,0
C000230,A0302,B040,2022-06-10,0,0
C000231,A0914,B036,2022-08-30,0,0
C000232,A0079,B036,2022-11-24,0,0
C000233,A0402,B005,2022-12-25,0,0
C000234,A0316,B032,2022-05-08,0,0
C000235,A0243,B058,2022-11-05,0,0
C000236,A0666,B018,2022-01-24,0,0
C000237,A0765,B027,2022-07-24,0,0
C000238,A0559,B058,2022-02-13,0,0
C000239,A0775,B049,2022-10-24,0,0
C000240,A0177,B034,2022-09-26,0,0
C000241,A0803,B018,2022-11-23,0,0
C000242,A0968,B046,2022-09-18,0,0
C000243,A0010,B042,2022-02-20,0,0
C000244,A0669,B034,2022-05-26,0,0
C000245,A0964,B036,2022-12-28,0,0
C000246,A0664,B024,2022-06-29,0,0
C000247,A0620,B004,2022-11-19,0,0
C000248,A0059,B021,2022-04-01,0,0
C000249,A0626,B026,2022-09-25,0,0
C000250,A0448,B040,2022-05-24,0,0
C000251,A0619,B018,2022-12-24,0,0
C000252,A0870,B019,2022-10-05,0,0
C000253,A0665,B034,2022-10-10,0,0
C000254,A0919,B002,2022-05-29,0,0
C000255,A0802,B011,2022-09-07,0,0
C000256,A0342,B028,2022-05-04,0,0
C000257,A0762,B019,2022-06-26,0,0
C000258,A0822,B025,2022-08-29,0,0
C000259,A0965,B020,2022-01-14,0,0
C000260,A0893,B054,2022-10-24,0,0
C000261,A0454,B017,2022-06-12,0,0
C000262,A0549,B020,2022-05-22,0,0
C000263,A0682,B048,2022-07-24,0,0
C000264,A0407,B001,2022-07-11,0,0
C000265,A0590,B050,2022-07-24,0,0
C000266,A0473,B049,2022-04-01,0,0
C000267,A0351,B049,2022-03-31,0,0
C000268,A0370,B032,2022-01-02,0,0
C000269,A0619,B001,2022-08-09,0,0
C000270,A0638,B057,2022-04-13,0,0
C000271,A0382,B019,2022-11-17,0,0
C000272,A0687,B034,2022-04-01,0,0
C000273,A0888,B046,2022-04-05,0,0
C000274,A0873,B051,2022-05-23,0,0
C000275,A0669,B017,2022-03-03,0,0
C000276,A0961,B021,2022-04-02,0,0
C000277,A0712,B051,2022-11-16,1,0
C000278,A0530,B034,2022-03-26,0,0
C000279,A0229,B020,2022-12-26,0,0
C000280,A0489,B001,2022-09-13,0,0
C000281,A0020,B023,2022-03-15,0,0
C000282,A0466,B023,2022-03-24,0,0
C000283,A0047,B056,2022-03-22,0,0
C000284,A0143,B024,2022-03-26,0,0
C000285,A0666,B002,2022-02-23,0,0
C000286,A0529,B046,2022-03-21,0,0
C000287,A0893,B006,2022-07-29,0,0
C000288,A0142,B026,2022-04-10,0,0
C000289,A0679,B006,2022-12-04,0,0
C000290,A0527,B022,2022-04-21,0,0
C000291,A0037,B028,2022-11-23,0,0
C000292,A0934,B006,2022-01-18,0,0
C000293,A0965,B001,2022-12-02,0,0
C000294,A0445,B036,2022-08-26,0,0
C000295,A0818,B031,2022-09-30,0,0
C000296,A0945,B029,2022-08-26,0,0
C000297,A0721,B033,2022-01-01,0,0
C000298,A0743,B035,2022-06-01,0,0
C000299,A0123,B038,2022-07-30,0,0
C000300,A0162,B020,2022-11-03,0,0
C000301,A0145,B017,2022-02-07,0,0
C000302,A0696,B041,2022-08-21,0,0
C000303,A0993,B019,2022-06-09,0,0
C000304,A0408,B022,2022-11-07,0,0
C000305,A0370,B038,2022-07-06,0,0
C000306,A0585,B003,2022-02-28,0,0
C000307,A0617,B023,2022-01-24,0,0
C000308,A0556,B048,2022-05-13,0,0
C000309,A0994,B032,2022-01-26,0,0
C000310,A0441,B019,2022-07-16,0,0
C000311,A0724,B032,2022-06-11,0,0
C000312,A0177,B014,2022-12-26,0,0
C000313,A0035,B054,2022-01-02,0,0
C000314,A0885,B023,2022-03-21,0,0
C000315,A0326,B058,2022-01-06,0,0
C000316,A0672,B018,2022-03-16,0,0
C000317,A0627,B058,2022-04-05,0,0
C000318,A0537,B018,2022-10-30,0,0
C000319,A0958,B033,2022-05-04,0,0
C000320,A0664,B005,2022-06-02,0,0
C000321,A0873,B054,2022-08-06,0,0
C000322,A0734,B057,2022-11-28,0,0
C000323,A0512,B020,2022-01-01,0,0
C000324,A0588,B034,2022-07-22,0,0
C000325,A0734,B027,2022-08-25,0,0
C000326,A0835,B002,2022-09-26,0,0
C000327,A0743,B022,2022-10-12,0,0
C000328,A0302,B027,2022-01-01,0,0
C000329,A0302,B007,2022-05-15,0,0
C000330,A0429,B014,2022-06-30,0,0
C000331,A0008,B027,2022-04-12,0,0
C000332,A0230,B011,2022-10-29,0,0
C000333,A0578,B023,2022-07-27,0,0
C000334,A0729,B005,2022-11-01,0,0
C000335,A0494,B019,2022-11-30,0,0
C000336,A0173,B015,2022-02-13,0,0
C000337,A0205,B040,2022-07-10,0,0
C000338,A0327,B022,2022-08-28,0,0
C000339,A0928,B023,2022-02-21,0,0
C000340,A0494,B031,2022-10-21,0,0
C000341,A0152,B044,2022-04-07,0,0
C000342,A0799,B024,2022-03-21,0,0
C000343,A0019,B036,2022-02-24,0,0
C000344,A0378,B023,2022-10-11,0,0
C000345,A0970,B041,2022-03-09,0,0
C000346,A0588,B024,2022-02-26,0,0
C000347,A0615,B049,2022-02-17,0,0
C000348,A0532,B025,2022-08-05,0,0
C000349,A0283,B046,2022-02-15,0,0
C000350,A0527,B017,2022-12-17,0,0
C000351,A0822,B021,2022-04-07,0,0
C000352,A0640,B024,2022-04-02,0,0
C000353,A0937,B007,2022-01-30,0,0
C000354,A0162,B034,2022-07-25,0,0
C000355,A0665,B018,2022-11-01,0,0
C000356,A0438,B001,2022-06-29,0,0
C000357,A0867,B058,2022-02-03,0,0
C000358,A0739,B036,2022-12-13,0,0
C000359,A0493,B019,2022-10-23,0,0
C000360,A0489,B027,2022-07-09,0,0
C000361,A0832,B035,2022-07-10,0,0
C000362,A0914,B046,2022-05-23,0,0
C000363,A0896,B024,2022-11-13,0,0
C000364,A0885,B017,2022-01-02,0,0
C000365,A0601,B020,2022-06-13,1,0
C000366,A0351,B040,2022-02-11,0,0
C000367,A0230,B039,2022-04-08,0,0
C000368,A0193,B056,2022-10-24,0,0
C000369,A0152,B005,2022-03-01,0,0
C000370,A0039,B039,2022-05-24,0,0
C000371,A0669,B012,2022-04-24,0,0
C000372,A0197,B033,2022-02-11,0,0
C000373,A0853,B038,2022-12-03,0,0
C000374,A0540,B010,2022-11-28,0,0
C000375,A0968,B016,2022-09-19,0,0
C000376,A0781,B032,2022-10-25,0,0
C000377,A0224,B057,2022-09-16,0,0
C000378,A0528,B019,2022-10-21,0,0
